rank,name,symbol,price,market_cap,volume_24h,timestamp
,,,"$83,054.89",19.84M,,2025-04-06 09:51
,,,"$1,798.98",120.67M,,2025-04-06 09:51
,,,$0.9996,144.08B,,2025-04-06 09:51
,,,$2.09,58.27B,,2025-04-06 09:51
,,,$591.29,142.47M,,2025-04-06 09:51
,,,$119.06,514.58M,,2025-04-06 09:51
,,,$0.9999,60.52B,,2025-04-06 09:51
,,,$0.1650,148.73B,,2025-04-06 09:51
,,,$0.2375,94.98B,,2025-04-06 09:51
,,,$0.6383,35.27B,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,$,,,2025-04-06 09:51
,,,"$83,054.89",19.84M,,2025-04-06 09:52
,,,"$1,799.35",120.67M,,2025-04-06 09:52
,,,$0.9995,144.08B,,2025-04-06 09:52
,,,$2.09,58.27B,,2025-04-06 09:52
,,,$591.12,142.47M,,2025-04-06 09:52
,,,$119.06,514.58M,,2025-04-06 09:52
,,,$0.9999,60.52B,,2025-04-06 09:52
,,,$0.1650,148.73B,,2025-04-06 09:52
,,,$0.2375,94.98B,,2025-04-06 09:52
,,,$0.6383,35.27B,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
